creation_time,w_freq,w_Release_date_binary,w_week_of_month,w_week_of_Year
2010-01-03,50,0,1,1
2010-01-10,253,0,2,2
2010-01-17,304,0,3,3
2010-01-24,353,0,4,4
2010-01-31,299,0,5,5
2010-02-07,222,0,2,6
2010-02-14,244,0,3,7
2010-02-21,225,0,4,8
2010-02-28,241,0,5,9
2010-03-07,195,0,2,10
2010-03-14,206,0,3,11
2010-03-21,272,0,4,12
2010-03-28,309,0,5,13
2010-04-04,284,0,1,14
2010-04-11,250,0,2,15
2010-04-18,190,0,3,16
2010-04-25,210,0,4,17
2010-05-02,201,0,1,18
2010-05-09,201,0,2,19
2010-05-16,234,0,3,20
2010-05-23,182,0,4,21
2010-05-30,159,0,5,22
2010-06-06,157,0,1,23
2010-06-13,163,0,2,24
2010-06-20,198,0,3,25
2010-06-27,338,0,4,26
2010-07-04,395,0,1,27
2010-07-11,319,0,2,28
2010-07-18,288,0,3,29
2010-07-25,398,0,4,30
2010-08-01,394,0,1,31
2010-08-08,338,0,2,32
2010-08-15,300,0,3,33
2010-08-22,316,0,4,34
2010-08-29,321,0,5,35
2010-09-05,275,0,1,36
2010-09-12,357,0,2,37
2010-09-19,449,0,3,38
2010-09-26,343,0,4,39
2010-10-03,252,0,1,40
2010-10-10,236,0,2,41
2010-10-17,244,0,3,42
2010-10-24,255,0,4,43
2010-10-31,289,0,5,44
2010-11-07,236,0,2,45
2010-11-14,310,0,3,46
2010-11-21,262,0,4,47
2010-11-28,203,0,5,48
2010-12-05,243,0,1,49
2010-12-12,286,0,2,50
2010-12-19,204,0,3,51
2010-12-26,210,0,4,52
2011-01-02,165,0,1,1
2011-01-09,234,0,2,2
2011-01-16,325,0,3,3
2011-01-23,300,0,4,4
2011-01-30,314,0,5,5
2011-02-06,301,0,1,6
2011-02-13,310,0,2,7
2011-02-20,238,0,3,8
2011-02-27,270,0,4,9
2011-03-06,389,0,1,10
2011-03-13,331,0,2,11
2011-03-20,317,0,3,12
2011-03-27,558,0,4,13
2011-04-03,374,0,1,14
2011-04-10,277,0,2,15
2011-04-17,309,0,3,16
2011-04-24,225,0,4,17
2011-05-01,203,0,1,18
2011-05-08,231,0,2,19
2011-05-15,215,0,3,20
2011-05-22,194,0,4,21
2011-05-29,183,0,5,22
2011-06-05,162,0,1,23
2011-06-12,136,0,2,24
2011-06-19,149,0,3,25
2011-06-26,213,1,4,26
2011-07-03,185,0,1,27
2011-07-10,158,0,2,28
2011-07-17,173,0,3,29
2011-07-24,144,0,4,30
2011-07-31,169,0,5,31
2011-08-07,158,0,2,32
2011-08-14,146,0,3,33
2011-08-21,237,1,4,34
2011-08-28,189,0,5,35
2011-09-04,176,0,1,36
2011-09-11,195,0,2,37
2011-09-18,114,0,3,38
2011-09-25,122,0,4,39
2011-10-02,215,1,1,40
2011-10-09,243,0,2,41
2011-10-16,189,0,3,42
2011-10-23,137,0,4,43
2011-10-30,145,0,5,44
2011-11-06,164,0,1,45
2011-11-13,219,1,2,46
2011-11-20,155,0,3,47
2011-11-27,135,0,4,48
2011-12-04,171,0,1,49
2011-12-11,156,0,2,50
2011-12-18,103,0,3,51
2011-12-25,168,1,4,52
2012-01-01,117,0,1,1
2012-01-08,148,0,2,2
2012-01-15,181,0,3,3
2012-01-22,168,0,4,4
2012-01-29,160,0,5,5
2012-02-05,259,1,1,6
2012-02-12,238,0,2,7
2012-02-19,202,0,3,8
2012-02-26,186,0,4,9
2012-03-04,161,0,1,10
2012-03-11,164,0,2,11
2012-03-18,205,1,3,12
2012-03-25,227,0,4,13
2012-04-01,181,0,1,14
2012-04-08,159,0,2,15
2012-04-15,134,0,3,16
2012-04-22,153,0,4,17
2012-04-29,246,1,5,18
2012-05-06,199,0,1,19
2012-05-13,186,0,2,20
2012-05-20,122,0,3,21
2012-05-27,113,0,4,22
2012-06-03,156,0,1,23
2012-06-10,217,1,2,24
2012-06-17,202,0,3,25
2012-06-24,162,0,4,26
2012-07-01,150,0,1,27
2012-07-08,125,0,2,28
2012-07-15,123,0,3,29
2012-07-22,178,1,4,30
2012-07-29,158,0,5,31
2012-08-05,132,0,1,32
2012-08-12,106,0,2,33
2012-08-19,143,0,3,34
2012-08-26,112,0,4,35
2012-09-02,177,1,1,36
2012-09-09,158,0,2,37
2012-09-16,137,0,3,38
2012-09-23,144,0,4,39
2012-09-30,147,0,5,40
2012-10-07,170,0,2,41
2012-10-14,227,1,3,42
2012-10-21,191,0,4,43
2012-10-28,133,0,5,44
2012-11-04,196,0,1,45
2012-11-11,169,0,2,46
2012-11-18,117,0,3,47
2012-11-25,179,1,4,48
2012-12-02,167,0,1,49
2012-12-09,154,0,2,50
2012-12-16,138,0,3,51
2012-12-23,156,0,4,52
2012-12-30,69,0,5,53
2013-01-06,113,0,1,1
2013-01-13,205,1,2,2
2013-01-20,205,0,3,3
2013-01-27,128,0,4,4
