error(percentage),method
0.097077922,RFx
0.20531746,RFx
0.151397059,RFx
0.320172414,RFx
0.216296296,RFx
0.116703297,RFx
0.07480226,RFx
0.072960894,RFx
0.073350515,RFx
0.22726087,RFx
0.044366197,RFx
0.257163636,RFx
0.365388889,RFx
0.188106509,RFx
0.116774194,RFx
0.063670213,RFx
0.153661202,RFx
0.141684211,RFx
0.096779661,RFx
0.183142857,RFx
0.127909836,RFx
0.047666667,RFx
0.103650794,RFx
0.116341463,RFx
0.231161826,RFx
0.275308219,RFx
0.225043478,RFx
0.051812689,RFx
0.122397661,RFx
0.101876833,RFx
0.107589928,RFx
0.002112211,RFx
0.066993865,RFx
0.06829932,RFx
0.040032468,RFx
0.00350365,RFx
0.03161157,RFx
0.129587156,RFx
0.021181818,RFx
0.276987179,RFx
0.034516129,RFx
0.413188406,RFx
0.057763713,RFx
0.172396694,RFx
0.116103286,RFx
0.172317073,RFx
0.234496124,RFx
1.317692308,RFx
0.060325203,RFx
0.145909091,RFx
0.252383721,RFx
0.336388889,RFx
0.082236287,RFx
0.09884058,RFx
0.000148515,RFx
0.05760181,RFx
0.11572,RFx
0.129675926,RFx
0.249310345,RFx
0.087258065,RFx
0.180190476,RFx
0.098181818,RFx
0.031436782,RFx
0.040546448,RFx
0.322340426,RFx
0.211369863,RFx
0.186575342,RFx
0.112074468,RFx
0.026327684,RFx
0.08615894,RFx
0.015367232,RFx
0.3475,RFx
0.037368421,RFx
0.084104046,RFx
0.068025478,RFx
0.094662162,RFx
0.016149733,RFx
0.103048128,RFx
0.014197531,RFx
0.207307692,RFx
0.124,RFx
0.0756,RFx
0.146222222,RFx
0.088970588,RFx
0.06745098,RFx
0.191121076,RFx
0.049904762,RFx
0.113125,RFx
0.166709957,RFx
0.128950276,RFx
0.22460251,RFx
0.092067039,RFx
0.289209486,RFx
0.444071856,RFx
0.331258278,RFx
0.141374408,RFx
0.197106918,RFx
0.131923077,RFx
0.00245509,RFx
