prediction,test,method
168.95,154,RFx
151.87,126,RFx
156.59,136,RFx
153.14,116,RFx
164.2,135,RFx
160.76,182,RFx
163.76,177,RFx
165.94,179,RFx
179.77,194,RFx
177.73,230,RFx
203.55,213,RFx
204.28,275,RFx
245.77,180,RFx
200.79,169,RFx
164.28,186,RFx
176.03,188,RFx
154.88,183,RFx
163.08,190,RFx
159.87,177,RFx
171.54,210,RFx
212.79,244,RFx
199.99,210,RFx
208.59,189,RFx
183.08,164,RFx
185.29,241,RFx
211.61,292,RFx
267.36,345,RFx
313.85,331,RFx
300.14,342,RFx
306.26,341,RFx
307.91,278,RFx
303.64,303,RFx
304.16,326,RFx
314.08,294,RFx
295.67,308,RFx
273.04,274,RFx
249.65,242,RFx
246.25,218,RFx
215.34,220,RFx
199.21,156,RFx
192.42,186,RFx
161.96,276,RFx
223.31,237,RFx
200.28,242,RFx
237.73,213,RFx
192.26,164,RFx
159.25,129,RFx
120.52,52,RFx
115.58,123,RFx
187.9,220,RFx
215.41,172,RFx
191.12,288,RFx
256.49,237,RFx
227.46,207,RFx
201.97,202,RFx
208.27,221,RFx
221.07,250,RFx
244.01,216,RFx
217.7,290,RFx
269.64,248,RFx
247.84,210,RFx
205.36,187,RFx
179.47,174,RFx
175.58,183,RFx
186.45,141,RFx
176.86,146,RFx
173.24,146,RFx
166.93,188,RFx
172.34,177,RFx
164.01,151,RFx
174.28,177,RFx
156.31,116,RFx
146.32,152,RFx
187.55,173,RFx
167.68,157,RFx
162.01,148,RFx
190.02,187,RFx
167.73,187,RFx
159.7,162,RFx
164.88,208,RFx
192.72,220,RFx
207.99,225,RFx
206.32,180,RFx
185.85,204,RFx
190.24,204,RFx
180.38,223,RFx
199.52,210,RFx
195.91,176,RFx
192.49,231,RFx
204.34,181,RFx
185.32,239,RFx
195.48,179,RFx
179.83,253,RFx
241.16,167,RFx
201.02,151,RFx
181.17,211,RFx
190.34,159,RFx
157.99,182,RFx
166.59,167,RFx
111.18,55,RFx
107.01,109,RFx
186.41,153,RFx
176.45,193,RFx
193.29,239,RFx
250.1,202,RFx
212.56,197,RFx
164.41,220,RFx
222.29,149,RFx
191.88,180,RFx
169.97,195,RFx
186.52,193,RFx
202.78,157,RFx
171.56,169,RFx
165.78,188,RFx
177.93,165,RFx
172.33,157,RFx
174.73,166,RFx
165.25,174,RFx
166.9,252,RFx
227.1,173,RFx
191,192,RFx
168.41,199,RFx
185.45,181,RFx
158.22,197,RFx
202.37,132,RFx
156.22,179,RFx
155.25,152,RFx
157.53,194,RFx
195.82,219,RFx
186.31,224,RFx
193.87,262,RFx
252.1,232,RFx
245.52,213,RFx
220.71,254,RFx
240.65,212,RFx
213.16,231,RFx
213.57,184,RFx
171.7,187,RFx
181.26,209,RFx
180.47,220,RFx
210.32,200,RFx
206.55,178,RFx
158.55,219,RFx
194.89,217,RFx
188.19,221,RFx
223.36,179,RFx
201.93,187,RFx
178.04,154,RFx
169.42,230,RFx
170.61,205,RFx
171.82,172,RFx
128.91,72,RFx
157.83,154,RF
148.81,126,RF
136.22,136,RF
131.48,116,RF
138.27,135,RF
146.33,182,RF
163.65,177,RF
151.1,179,RF
175.86,194,RF
143.59,230,RF
206.3,213,RF
205.21,275,RF
251.06,180,RF
204.7,169,RF
148.08,186,RF
169.1135714,188,RF
160.665,183,RF
180.51,190,RF
166.63,177,RF
180.71,210,RF
187.25,244,RF
217.98,210,RF
210.1458333,189,RF
175.39,164,RF
171.6246667,241,RF
220.82,292,RF
246.72,345,RF
329.86,331,RF
320.01,342,RF
372.82,341,RF
330.61,278,RF
305.78,303,RF
270.43,326,RF
294.16,294,RF
329.93,308,RF
266.47,274,RF
276.69,242,RF
237.81,218,RF
204.9375,220,RF
202.13,156,RF
152.95,186,RF
170.5035714,276,RF
248.47,237,RF
259.53,242,RF
225.095,213,RF
203.8941667,164,RF
199.65,129,RF
137.77,52,RF
109.72,123,RF
193.69,220,RF
214.25,172,RF
161.3,288,RF
247.46,237,RF
279.07,207,RF
198.915,202,RF
176.64,221,RF
207.5,250,RF
240.15,216,RF
199.8133333,290,RF
253.27,248,RF
241.98,210,RF
189.91,187,RF
190.8766667,174,RF
133.13,183,RF
178.29,141,RF
153.81,146,RF
171.73,146,RF
197.46,188,RF
185.4,177,RF
170.17,151,RF
170.19,177,RF
155.86,116,RF
167.63,152,RF
170.17,173,RF
162.8,157,RF
140.87,148,RF
183.18,187,RF
172.64,187,RF
159.69,162,RF
155.7771667,208,RF
213.46,220,RF
185.84,225,RF
210.5858333,180,RF
195.93,204,RF
203.92,204,RF
177.7475,223,RF
207.43,210,RF
229.08,176,RF
190.105,231,RF
186.11,181,RF
170.14,239,RF
206.5,179,RF
206.15,253,RF
226.44,167,RF
153.01,151,RF
147,211,RF
167.18,159,RF
196.5,182,RF
168.85,167,RF
152.92,55,RF
130.35,109,RF
220.41,153,RF
165.88,193,RF
172.33,239,RF
225.78,202,RF
200.8583333,197,RF
188.6241667,220,RF
223.62,149,RF
163.12,180,RF
193.96,195,RF
145.97,193,RF
164.24,157,RF
162.75,169,RF
175.72,188,RF
176.77,165,RF
163.3046667,157,RF
162.59,166,RF
182.74,174,RF
161.49,252,RF
231.93,173,RF
161.15,192,RF
158.58,199,RF
227.11,181,RF
153.845,197,RF
173.19,132,RF
146.72,179,RF
162.35,152,RF
147.84,194,RF
163.57,219,RF
228.2,224,RF
208.1625,262,RF
